x,y,Ca,K,Fe,Zn,Cu,Mn,S,P,Cl,Si,Br,Sr
23,35,1.182,1.525,0.549,0.474,1.607,1.35,1.134,0.696,1.116,1.608,2.157,0.779
23,36,0.63,1.022,1.99,2.263,0.75,1.621,1.139,1.628,1.647,2.077,1.841,1.739
23,37,1.797,0.859,1.826,1.434,1.286,1.225,0.524,1.562,1.422,1.173,1.373,1.105
23,38,1.452,1.584,1.217,0.465,1.797,0.833,1.521,1.576,0.564,2.325,1.474,1.289
23,39,1.728,1.629,1.036,0.853,0.886,1.816,1.583,1.155,2.311,0.715,1.003,0.775
23,40,1.078,2.234,2.178,0.793,1.496,0.676,0.538,1.243,1.731,2.078,1.521,2.192
23,41,2.055,0.65,1.354,0.824,1.252,0.768,1.923,0.548,0.447,1.392,1.664,1.191
23,42,1.426,1.393,0.928,1.289,2.081,1.709,2.448,1.924,1.511,2.234,0.647,0.771
23,43,1.199,1.585,1.113,0.787,1.25,1.772,0.64,0.912,2.06,1.339,1.089,0.713
23,44,0.889,1.856,1.841,1.483,1.616,1.268,1.801,0.735,0.937,1.393,1.707,1.884
23,45,1.06,1.636,2.031,0.932,1.273,1.068,0.732,0.573,0.311,1.328,1.136,0.695
23,46,1.551,0.747,1.92,1.497,1.2,2.437,1.412,0.329,1.532,0.685,1.358,0.373
23,47,0.926,1.31,0.245,0.002,1.018,0.786,1.55,0.334,1.198,0.7,1.826,1.419
23,48,1.099,1.314,0.628,2.128,1.894,1.363,0.453,0.644,0.447,0.71,1.691,1.055
23,49,2.406,0.353,0.937,0.956,0.181,2.331,0.679,0.77,1.356,0.009,1.553,0.982
23,50,0.516,1.61,1.317,1.793,1.626,0.21,1.981,1.543,1.382,0.0,1.816,1.242
24,1,1.718,1.224,1.796,0.0,0.873,0.791,1.711,1.194,1.939,1.658,1.244,1.243
24,2,0.973,0.61,0.908,1.279,1.277,1.705,1.697,1.685,1.247,1.877,1.754,0.921
24,3,1.39,0.68,0.905,1.063,0.862,1.061,1.961,0.987,0.877,1.565,1.537,1.869
24,4,1.714,0.88,1.819,1.808,1.029,1.157,1.986,1.393,0.82,1.077,1.291,1.299
24,5,1.689,1.292,1.281,1.215,0.551,1.18,1.128,1.193,1.202,1.583,1.62,1.472
24,6,1.196,1.017,0.662,0.467,0.599,0.99,1.356,1.594,1.279,1.536,0.703,1.059
24,7,0.559,1.244,1.514,1.36,1.126,0.698,1.785,1.592,1.341,2.105,2.123,0.747
24,8,0.482,1.597,2.022,0.836,1.126,1.911,1.611,0.777,0.993,2.262,1.058,1.197
24,9,0.711,1.606,1.23,1.469,0.864,0.876,1.625,1.1,2.304,1.134,1.815,1.757
24,10,1.475,1.51,0.161,0.934,1.61,1.161,2.066,1.477,1.086,0.257,1.954,1.721
24,11,1.069,1.088,0.964,0.988,1.173,1.843,0.442,1.705,0.78,0.821,0.743,1.688
24,12,2.105,0.917,1.376,1.476,1.359,1.009,1.121,1.033,0.324,0.998,1.687,0.813
24,13,1.936,1.174,1.051,1.86,1.531,2.109,1.495,1.419,0.438,0.598,0.761,0.238
24,14,1.859,0.697,1.131,0.063,1.177,1.29,1.494,0.742,2.029,1.67,0.515,1.65
24,15,1.664,1.91,1.667,0.704,1.579,1.398,0.552,1.164,0.713,1.304,1.228,1.277
24,16,10.909,5.294,1.098,4.823,1.245,2.925,7.758,5.683,4.75,2.169,2.448,4.169
24,17,10.205,4.194,1.597,3.995,1.076,1.727,5.683,4.55,3.878,1.145,2.906,2.244
24,18,11.992,5.157,1.036,4.472,2.05,2.103,6.337,5.755,3.839,1.448,2.077,2.544
24,19,10.294,6.471,1.295,5.091,1.267,2.757,6.412,3.648,3.949,2.187,3.07,3.089
24,20,9.297,5.855,1.575,5.301,1.433,3.154,6.711,3.272,5.54,1.324,2.993,3.133
24,21,12.489,7.259,0.894,4.182,1.457,2.992,8.937,5.893,4.609,0.722,3.4,2.753
24,22,11.985,6.463,1.06,4.871,1.413,1.968,6.715,5.689,4.143,1.21,3.661,3.91
24,23,11.888,5.778,2.035,4.739,0.612,2.595,7.216,5.189,5.508,1.688,1.914,2.109
24,24,12.021,3.771,1.607,4.839,0.56,2.655,7.015,3.947,4.613,1.783,2.132,2.918
24,25,12.062,7.368,0.2,3.887,1.518,2.712,6.88,4.431,2.954,1.002,2.5,4.81
24,26,12.067,7.54,0.646,4.904,0.859,3.83,6.972,7.168,4.185,0.679,2.613,3.6
24,27,11.713,4.751,0.558,2.898,1.162,2.741,6.913,3.277,3.963,1.769,3.053,2.178
24,28,8.852,5.629,1.382,4.298,1.343,2.296,5.94,3.927,3.347,0.693,2.247,3.088
24,29,8.695,6.093,0.782,4.043,0.631,2.61,6.271,4.584,4.503,1.437,1.857,2.654
24,30,13.974,6.536,1.258,3.764,0.659,2.511,7.347,4.412,3.872,2.169,3.246,4.365
24,31,8.965,6.105,1.393,4.359,1.26,3.427,7.018,4.296,3.084,1.486,2.597,3.193
24,32,10.049,4.036,1.619,4.768,0.732,1.894,6.921,5.598,3.404,0.632,4.291,2.626
24,33,12.708,5.467,1.795,3.891,1.767,2.43,7.775,3.931,4.63,1.714,4.023,2.513
24,34,10.638,5.31,2.111,3.664,1.876,3.376,7.258,4.959,3.716,0.564,1.265,3.22
24,35,1.827,1.193,0.927,1.761,1.059,1.341,1.333,1.527,1.6,0.728,1.415,1.534
24,36,1.234,0.947,1.386,1.227,0.247,1.827,1.605,1.032,0.716,0.087,1.73,1.692
24,37,0.772,2.6,1.295,1.652,0.114,1.781,1.771,1.135,1.664,0.702,1.427,1.865
24,38,0.89,0.525,0.132,0.584,0.423,0.958,0.192,2.166,1.93,1.868,0.939,1.018
24,39,1.689,2.126,0.826,0.539,1.286,0.606,1.369,1.05,1.927,1.613,1.611,0.69
24,40,1.748,1.548,1.199,0.791,0.0,1.317,1.956,1.336,1.583,0.882,2.009,1.07
24,41,0.236,1.015,1.928,1.284,1.271,0.839,0.916,0.925,0.721,0.575,0.996,2.45
24,42,0.736,1.867,1.485,2.242,1.591,1.237,0.565,1.377,0.648,2.444,0.854,1.252
24,43,0.351,1.628,0.629,1.254,0.893,0.998,1.682,1.054,0.774,0.582,1.651,1.865
24,44,1.083,1.129,0.852,1.306,0.49,1.474,1.924,1.651,0.773,1.565,0.831,1.0
24,45,2.186,1.781,0.745,1.803,1.488,1.085,0.642,1.769,1.657,0.747,1.986,0.51
24,46,1.736,1.047,1.608,1.502,1.244,2.105,1.724,0.465,0.473,2.27,1.06,1.805
24,47,1.246,1.634,0.992,1.679,2.099,1.48,1.637,1.647,1.587,1.753,1.208,1.416
24,48,1.71,1.908,1.855,1.964,0.742,1.101,1.758,0.877,1.755,1.23,1.985,1.247
24,49,1.959,1.752,1.675,1.117,0.985,1.443,0.78,1.654,2.111,0.17,0.611,0.787
24,50,2.35,0.507,1.524,1.07,0.581,0.886,0.489,0.55,0.461,1.607,1.343,1.312
25,1,1.53,1.294,0.691,2.558,0.639,1.942,1.035,1.001,0.306,1.546,0.795,0.617
25,2,1.849,0.519,1.27,0.841,1.014,0.636,1.79,1.974,1.747,1.571,1.259,2.018
25,3,0.269,0.487,1.526,1.555,1.731,1.572,1.085,0.99,1.159,1.833,1.672,1.413
25,4,2.241,1.203,0.859,1.28,0.431,0.863,1.015,1.389,1.484,1.137,1.052,1.14
25,5,1.531,0.592,0.487,0.743,1.276,1.398,1.694,1.676,0.633,1.514,1.905,1.083
25,6,0.89,2.615,0.934,0.274,0.143,0.929,1.907,0.814,1.224,0.448,1.814,1.254
25,7,0.34,0.0,1.777,0.067,0.727,0.901,0.647,1.65,1.354,1.022,1.129,0.539
25,8,0.974,1.315,0.452,1.734,0.897,0.977,0.826,1.705,1.827,1.165,0.807,1.339
25,9,1.187,0.485,1.745,1.361,0.87,1.122,1.384,1.96,0.822,1.465,1.172,0.69
25,10,0.411,1.637,0.876,1.171,1.511,0.855,1.319,1.166,1.523,1.634,1.661,1.326
25,11,0.407,1.265,0.539,1.481,1.127,0.908,0.874,1.011,1.592,0.876,0.742,1.802
25,12,1.862,1.004,1.553,2.06,1.583,1.89,1.577,0.281,0.918,2.109,1.067,0.642
25,13,1.616,0.803,2.394,2.068,1.313,1.143,0.196,0.539,1.891,1.465,1.037,1.781
25,14,2.026,1.609,1.677,1.732,2.046,1.388,0.597,1.756,0.457,1.349,1.499,1.937
25,15,1.215,1.315,0.49,0.346,1.97,1.164,0.884,1.034,0.655,2.395,1.585,0.803
25,16,10.41,6.017,1.908,3.932,1.787,3.215,7.202,5.072,3.219,0.496,2.113,3.466
25,17,12.017,3.887,0.833,3.565,1.423,2.697,5.282,4.699,3.444,1.525,3.957,2.991
25,18,10.076,7.03,1.868,4.615,1.312,1.9,7.039,4.488,3.714,1.548,2.714,3.946
25,19,12.775,4.472,1.898,4.569,1.849,3.928,5.693,4.244,3.358,1.166,3.72,2.597
25,20,10.016,5.55,1.27,3.879,1.365,3.08,6.129,5.955,3.658,0.886,1.555,1.563
25,21,10.05,6.17,0.342,4.147,1.065,2.127,6.93,4.564,2.6,1.11,3.008,2.404
25,22,9.662,5.99,0.87,4.842,1.079,2.88,6.049,4.855,4.462,1.671,2.399,4.036
25,23,13.488,5.222,0.911,3.381,1.708,2.688,7.305,4.436,4.722,1.136,1.379,3.688
25,24,8.858,3.657,0.844,3.54,0.937,2.951,7.44,6.645,3.844,1.955,1.351,4.332
25,25,9.566,6.171,1.788,4.683,2.003,2.189,7.559,5.804,4.582,0.677,2.862,4.028
25,26,10.817,6.557,1.486,2.869,1.208,1.454,5.714,5.229,3.543,0.641,2.766,4.265
25,27,10.623,6.49,1.355,3.734,1.515,2.593,7.431,6.275,3.805,1.144,1.408,2.572
25,28,11.235,6.108,0.79,4.438,1.905,2.645,6.158,6.07,3.878,0.664,2.983,3.316
25,29,13.28,7.658,0.234,4.121,1.276,2.684,8.309,5.023,4.609,0.703,3.146,3.474
25,30,10.733,8.118,2.106,5.362,1.731,3.521,8.132,6.526,4.548,1.338,1.878,3.438
25,31,11.213,4.726,1.553,3.097,0.781,2.519,6.688,5.971,5.477,1.776,2.044,4.554
25,32,10.562,5.065,1.738,4.239,1.39,2.391,8.146,5.047,2.956,1.762,3.191,5.033
25,33,12.484,5.006,0.9,3.284,0.864,3.575,8.021,5.67,4.937,1.171,2.881,2.676
25,34,11.607,4.261,0.82,4.201,1.167,3.594,7.72,5.058,4.557,1.328,3.581,2.834
25,35,1.49,1.37,2.42,1.187,0.832,0.896,1.292,0.99,1.803,0.937,1.106,1.559
25,36,0.885,0.671,1.24,0.976,1.728,1.837,0.174,0.861,1.288,0.445,1.683,1.319
25,37,8.811,0.786,1.736,0.723,1.889,5.227,5.079,0.425,8.067,1.633,8.823,1.368
25,38,10.076,1.193,0.71,1.024,0.28,5.731,5.405,1.372,7.741,1.904,8.974,2.262
25,39,8.091,1.352,1.678,1.137,1.251,5.279,4.844,1.596,7.274,1.81,9.663,0.815
25,40,10.383,1.423,0.572,1.228,2.303,4.678,5.676,0.313,7.408,0.624,7.338,0.247
25,41,9.403,0.849,1.161,1.598,0.675,5.023,4.914,0.731,6.912,0.386,8.327,1.322
25,42,9.93,1.176,1.829,1.945,1.206,6.876,5.617,1.07,6.9,1.354,9.111,1.842
25,43,7.488,0.797,0.206,1.593,0.741,4.161,5.369,0.783,5.175,0.942,9.935,0.597
25,44,9.408,0.521,0.573,1.989,1.76,5.1,3.686,1.773,5.748,1.461,7.85,0.513
25,45,8.514,1.4,0.975,0.542,0.556,6.062,5.197,1.02,6.399,2.029,7.668,0.069
25,46,7.884,1.034,1.506,1.186,1.829,5.917,6.414,2.183,8.391,0.081,7.781,0.896
25,47,8.872,1.624,0.688,1.882,1.856,4.466,6.085,1.223,8.467,2.652,8.192,1.234
25,48,8.302,1.656,1.643,1.174,0.506,6.618,5.06,1.459,7.165,1.18,8.98,0.104
25,49,0.804,1.122,1.163,1.182,1.209,1.4,1.907,1.344,1.651,1.404,0.45,1.418
25,50,0.637,1.708,1.167,1.963,1.396,2.103,0.833,0.992,0.698,0.461,1.193,1.388
26,1,0.975,1.007,0.952,1.245,1.063,1.478,1.264,2.013,0.492,0.825,1.081,1.395
26,2,1.689,0.905,1.022,0.071,1.588,1.149,1.827,0.742,1.9,1.885,0.813,1.787
26,3,1.212,1.984,0.277,1.224,1.267,1.483,0.603,0.832,1.727,1.348,1.374,2.041
26,4,1.062,0.0,1.378,1.3,1.599,0.63,0.695,1.479,1.496,1.436,0.88,0.927
26,5,1.515,0.94,1.881,1.4,2.037,1.566,1.625,0.785,1.613,2.004,0.422,1.052
26,6,1.563,2.137,2.212,0.819,1.689,2.019,0.523,0.388,0.658,1.414,1.514,0.925
26,7,1.649,1.782,0.499,0.669,0.878,2.687,1.503,1.936,0.427,0.769,2.44,1.399
26,8,0.443,2.106,1.427,0.897,0.665,2.195,1.192,0.316,0.399,1.739,1.45,0.287
26,9,1.903,2.087,0.096,1.285,1.665,1.641,1.329,1.191,0.983,1.37,1.331,2.086
26,10,0.832,1.531,1.137,1.275,0.942,1.267,1.876,1.962,1.885,1.553,2.107,1.715
26,11,0.414,1.106,1.3,1.256,1.959,1.312,2.255,2.182,1.609,1.379,0.939,1.997
26,12,1.132,1.028,1.562,1.451,1.434,1.984,0.848,1.817,1.991,1.538,0.927,0.561
26,13,1.319,1.044,1.988,2.336,1.19,2.163,1.035,0.498,1.264,1.399,1.616,0.685
26,14,0.188,1.648,1.25,2.017,1.224,1.161,1.315,1.461,0.716,0.0,1.544,0.772
26,15,1.867,0.491,1.462,1.39,1.441,1.934,0.89,1.585,1.115,0.95,1.72,0.863
26,16,11.525,6.322,1.391,4.324,1.284,1.852,7.715,4.838,3.617,0.291,1.815,2.601
26,17,11.551,4.128,1.648,4.719,0.782,3.605,8.563,6.063,4.606,1.6,2.951,4.8
26,18,13.023,6.432,2.071,5.352,1.845,2.581,7.016,5.66,5.844,1.16,2.138,2.731
26,19,12.714,4.959,0.602,4.845,0.918,2.511,6.997,5.969,4.731,0.458,3.275,3.236
26,20,11.522,5.185,1.916,3.249,1.032,2.744,7.314,4.2,4.883,1.455,3.459,4.477
26,21,9.865,6.435,1.379,3.92,1.49,2.839,5.807,5.667,4.527,0.75,3.136,4.185
26,22,12.435,4.024,1.714,4.897,1.588,3.069,4.363,6.693,5.107,1.091,2.14,2.788
26,23,9.184,5.162,0.722,3.108,0.437,2.364,5.47,4.246,3.593,1.586,3.004,4.074
26,24,13.406,4.447,1.52,5.781,0.706,1.958,8.691,5.71,4.534,0.494,2.48,2.738
26,25,10.469,4.622,2.471,4.814,0.766,2.688,6.151,4.782,4.426,0.426,2.94,1.825
26,26,10.21,6.472,1.811,5.339,0.63,1.678,7.221,3.771,3.472,1.704,2.891,3.836
26,27,13.032,6.716,0.865,5.141,1.903,2.761,5.81,4.667,3.756,0.417,2.922,2.625
26,28,9.356,4.439,2.273,4.296,0.507,2.375,6.475,5.22,4.255,1.832,2.624,3.939
26,29,9.561,5.244,1.84,4.866,1.729,2.579,6.789,6.161,5.728,0.147,2.595,3.727
26,30,10.881,6.193,1.646,3.638,1.661,2.856,8.451,4.755,3.12,1.902,2.602,2.964
26,31,9.654,6.129,0.622,4.616,1.224,3.861,6.039,5.37,2.757,1.468,2.008,1.523
26,32,12.538,6.486,1.162,4.349,1.343,2.418,7.418,5.793,3.566,0.783,3.272,4.061
26,33,13.31,6.24,1.093,4.159,1.436,2.42,7.462,5.396,5.069,0.677,2.145,3.251
26,34,11.642,5.223,0.769,3.82,0.399,2.674,7.732,3.772,4.634,1.218,3.433,3.248
26,35,1.653,1.214,0.916,1.767,1.747,0.464,0.921,0.816,1.522,0.19,1.695,1.512
26,36,1.052,2.27,0.487,1.372,0.589,1.16,0.659,1.079,0.875,1.919,1.816,0.41
26,37,9.317,1.862,2.159,0.379,0.688,4.779,5.657,1.57,7.699,1.278,8.666,1.659
26,38,7.315,0.736,0.658,2.309,1.651,5.541,5.198,1.706,7.223,1.038,7.994,0.619
26,39,8.378,0.718,1.419,1.483,0.359,5.826,4.853,0.383,8.058,0.794,10.083,1.426
26,40,10.136,0.637,1.192,1.545,0.968,7.042,4.283,1.999,7.939,1.319,6.331,0.711
26,41,8.298,1.602,1.16,1.381,1.398,5.301,6.557,2.011,7.396,1.595,9.563,0.862
26,42,10.24,1.729,0.881,0.73,1.75,5.922,5.6,1.06,7.114,1.436,6.891,2.153
26,43,8.451,0.388,0.816,0.552,0.983,4.06,5.576,1.331,9.039,1.227,8.225,1.114
26,44,8.475,1.432,0.771,1.946,1.774,6.152,4.631,1.639,8.012,1.933,7.981,0.995
26,45,9.811,2.13,0.532,1.201,1.234,5.442,4.966,1.444,5.953,1.386,6.966,0.863
26,46,9.851,0.898,0.718,0.31,1.296,5.002,4.996,1.208,5.93,1.617,9.236,1.012
26,47,9.392,0.897,1.864,1.665,1.734,5.303,5.755,1.286,6.275,1.368,7.01,1.925
26,48,8.887,0.737,1.946,0.804,1.525,4.93,5.108,1.954,6.728,1.174,7.164,1.248
26,49,0.478,1.461,0.976,1.164,1.913,1.744,0.811,0.643,1.903,0.921,1.073,1.657
26,50,0.659,1.58,0.832,1.447,1.515,2.169,1.233,1.817,1.227,1.131,1.962,0.693
27,1,0.999,2.298,0.738,0.875,0.822,1.745,1.821,0.703,1.683,1.099,1.565,1.719
27,2,0.092,1.337,1.173,1.044,1.408,1.12,0.4,0.99,1.255,1.14,1.536,0.713
27,3,1.518,1.431,0.131,1.286,1.015,1.328,0.751,0.317,0.939,0.883,2.145,0.718
27,4,0.627,1.76,1.067,1.802,0.637,1.27,0.598,1.229,1.625,1.36,0.623,2.249
27,5,0.582,1.864,1.431,0.869,2.226,0.82,0.726,1.234,0.796,1.233,1.105,1.791
27,6,1.671,1.424,0.434,1.645,1.459,0.864,0.646,1.465,1.98,0.665,1.523,1.755
27,7,0.333,0.918,1.356,1.362,0.502,1.323,2.045,0.789,1.552,1.747,1.345,1.914
27,8,1.551,1.119,1.054,0.834,0.722,1.993,0.362,1.938,1.597,0.681,0.323,0.926
27,9,1.48,1.997,1.039,0.761,1.662,1.848,0.853,1.481,1.65,0.871,1.049,1.186
27,10,0.982,0.429,1.007,1.697,0.881,0.876,1.732,1.541,0.627,0.825,0.0,1.126
27,11,0.96,1.683,1.878,0.737,1.098,0.495,1.641,1.792,0.274,0.46,1.171,0.868
27,12,1.391,0.966,1.895,1.342,0.318,1.182,1.467,1.789,2.403,0.702,0.673,1.222
27,13,1.559,2.028,1.423,1.226,0.724,0.786,1.21,1.903,1.902,1.615,1.231,1.013
27,14,1.278,0.747,1.507,2.502,0.73,0.514,1.759,1.278,0.769,1.652,1.475,1.965
27,15,12.26,5.644,0.821,5.797,1.543,4.248,5.212,4.788,4.391,1.959,2.328,3.72
27,16,11.088,4.43,0.721,5.039,1.853,2.56,6.695,5.974,4.15,0.776,3.064,3.683
27,17,10.036,6.958,1.199,3.816,0.223,2.55,5.98,5.933,4.98,0.479,2.513,3.415
27,18,11.646,5.319,0.866,5.454,1.701,3.347,6.334,5.133,4.286,0.925,2.673,3.113
27,19,8.985,6.227,1.811,3.524,1.395,3.168,7.794,4.705,5.3,0.867,3.669,2.563
27,20,10.302,6.663,1.873,5.698,1.213,1.462,7.125,5.314,5.004,0.784,2.932,3.53
27,21,11.324,5.839,0.419,2.599,1.406,2.036,4.935,3.762,4.539,1.286,3.449,3.836
27,22,11.383,4.706,0.61,4.87,0.698,3.218,5.855,6.522,5.196,0.958,2.701,2.872
27,23,10.314,4.373,1.094,4.041,1.495,2.889,8.341,5.59,4.428,2.053,1.736,2.34
27,24,12.799,6.69,0.531,3.789,1.063,2.371,7.138,5.168,4.722,2.276,3.182,4.856
27,25,10.808,7.156,1.197,2.915,0.824,3.543,7.794,3.754,5.478,1.318,2.986,4.381
27,26,10.298,4.927,1.063,4.21,1.828,2.59,6.735,5.786,2.659,1.807,1.904,2.542
27,27,12.0,7.435,1.456,4.756,0.957,2.602,6.341,6.419,4.038,1.642,3.415,1.872
27,28,10.485,6.088,2.176,5.215,0.667,1.814,6.212,5.737,3.602,2.081,1.479,2.881
27,29,12.057,5.553,1.496,5.269,2.144,1.547,7.794,4.811,3.137,0.676,3.031,3.997
27,30,11.56,4.307,1.516,4.358,1.497,2.084,6.256,4.702,4.635,0.198,3.341,3.244
27,31,10.12,6.02,0.751,4.473,1.59,2.422,6.786,5.197,3.998,1.147,2.84,3.109
27,32,9.934,4.439,2.179,3.618,1.926,2.417,5.767,6.157,4.721,0.679,3.614,2.569
27,33,10.506,4.788,0.97,4.125,0.616,2.276,7.043,5.847,3.65,1.489,2.507,3.918
27,34,9.071,5.753,1.166,3.12,1.476,3.144,8.445,6.09,3.05,0.703,1.791,2.869
27,35,9.07,4.643,1.384,4.705,1.316,3.331,7.171,4.994,5.968,1.88,2.308,2.027
27,36,1.557,0.569,0.602,1.754,1.287,1.262,2.318,1.6,1.78,1.136,0.999,2.338
27,37,9.625,1.923,1.083,1.377,0.712,5.951,3.417,1.143,5.377,1.919,9.305,1.83
27,38,7.181,1.681,1.098,0.773,1.808,6.249,5.947,1.062,6.613,1.278,8.632,1.987
27,39,7.211,1.228,0.308,0.65,1.218,4.309,4.38,1.534,6.877,1.662,8.561,1.262
27,40,8.509,0.724,0.878,1.186,0.772,5.884,6.212,0.449,7.148,0.975,7.102,0.977
27,41,7.457,0.927,2.023,2.113,1.099,4.471,4.482,0.762,6.844,1.479,6.779,1.813
27,42,9.154,1.688,2.0,1.662,2.282,5.258,6.8,0.889,5.348,0.022,8.751,0.83
27,43,7.78,0.947,1.578,1.278,0.695,5.316,6.863,2.049,7.88,1.34,6.979,0.489
27,44,10.482,1.734,1.664,1.147,0.904,4.442,5.059,0.48,5.191,2.089,9.075,1.448
27,45,7.229,0.725,2.368,0.846,2.151,6.31,6.1,0.813,5.612,0.543,7.842,2.214
27,46,10.354,0.6,2.236,0.738,1.815,5.216,5.802,1.237,8.324,2.32,10.06,2.127
27,47,10.614,2.351,1.386,1.211,2.112,5.815,5.131,1.609,7.682,0.876,9.399,2.066
27,48,8.705,1.996,0.784,0.626,2.035,6.56,5.434,2.268,6.205,0.694,7.192,1.207
27,49,1.904,1.57,0.944,1.819,0.675,0.34,0.468,1.557,1.945,1.152,0.994,1.011
27,50,0.93,1.152,0.67,0.915,0.666,1.059,0.0,1.854,0.69,1.541,1.316,1.854
28,1,1.574,1.356,1.341,1.311,1.536,0.994,1.047,1.184,1.119,1.068,1.124,1.251
28,2,1.343,2.121,0.897,0.669,1.612,0.821,0.672,2.045,0.713,1.432,0.543,0.963
28,3,1.759,1.905,1.897,1.037,2.386,0.942,1.514,1.033,1.863,1.051,2.003,1.978
28,4,1.704,0.629,1.356,0.566,1.464,1.036,2.079,0.447,1.572,0.485,1.44,0.627
28,5,1.219,1.238,1.086,0.845,0.72,0.933,1.068,1.748,1.591,1.366,1.27,0.37
28,6,0.98,1.788,1.827,0.804,0.916,0.857,1.779,1.343,0.794,1.42,0.525,0.352
28,7,1.754,1.41,0.699,1.123,1.028,1.279,1.63,0.576,2.052,0.0,1.268,1.157
28,8,0.646,0.843,0.277,1.736,1.1,1.65,2.326,0.521,1.291,1.201,1.092,0.384
28,9,0.987,0.821,1.031,0.347,0.612,2.372,0.438,2.423,1.407,1.103,1.463,1.497
28,10,1.133,1.722,1.455,0.766,1.404,0.91,1.04,1.566,2.086,1.327,1.131,1.496
28,11,1.407,0.878,1.722,1.625,1.105,1.566,0.233,0.51,1.933,2.519,2.411,2.139
28,12,2.184,1.631,0.412,0.64,1.756,1.375,1.242,0.899,1.491,1.609,1.315,0.779
28,13,1.622,2.062,2.188,2.052,1.529,1.435,1.618,0.912,1.231,0.544,1.415,1.353
28,14,2.111,1.455,1.308,0.654,0.925,1.214,1.422,0.134,1.982,0.364,0.586,0.744
28,15,9.09,6.294,0.869,4.199,0.983,2.509,7.944,4.557,3.794,2.43,2.69,3.997
28,16,9.846,5.868,0.577,4.645,2.101,2.75,7.832,6.081,4.42,0.589,3.209,2.557
28,17,13.793,6.295,1.657,4.47,1.401,2.156,7.389,4.677,2.759,0.85,2.46,2.627
28,18,11.875,4.139,1.941,5.699,1.46,3.318,6.346,4.844,4.458,1.64,2.995,4.322
28,19,9.285,5.973,1.5,5.424,2.139,2.038,9.005,5.44,2.886,0.846,3.048,3.448
28,20,8.647,6.946,1.65,4.07,1.003,2.827,5.847,6.336,5.256,0.553,3.288,3.719
28,21,11.9,6.312,0.488,3.943,1.651,2.651,6.408,4.2,4.429,1.669,2.929,3.336
28,22,13.291,6.068,1.574,3.357,1.538,2.644,7.986,3.834,4.34,0.962,2.319,3.586
28,23,9.933,5.377,1.681,4.599,0.767,2.953,7.94,3.959,4.031,1.066,2.241,1.932
28,24,12.63,6.297,1.119,4.045,1.986,1.238,5.484,5.892,4.45,0.636,2.972,3.696
28,25,11.379,11.637,5.895,11.611,3.877,2.496,6.965,10.064,4.699,0.756,2.303,2.931
28,26,12.173,6.354,0.439,4.681,1.777,2.14,7.431,6.064,3.708,1.574,2.981,3.051
28,27,12.218,3.842,1.062,5.211,0.954,1.749,8.123,4.59,3.156,1.665,3.021,4.709
28,28,9.79,7.913,1.03,3.201,0.872,3.877,6.263,3.809,3.538,1.668,1.908,2.165
28,29,11.269,4.67,1.456,3.936,1.22,2.865,5.7,5.401,4.092,1.694,3.906,3.994
28,30,11.114,5.529,1.933,4.817,1.992,2.091,7.472,4.727,3.695,1.67,3.457,3.712
28,31,10.115,4.254,1.574,5.943,1.024,3.885,6.854,4.475,5.234,1.822,3.216,2.632
28,32,10.262,4.06,1.113,4.411,2.177,1.881,4.876,4.416,4.084,1.816,2.831,4.165
28,33,11.572,7.722,0.177,5.042,0.787,2.542,7.933,3.641,5.368,1.072,1.111,2.725
28,34,9.789,6.361,0.723,5.739,0.828,2.78,5.846,5.16,2.985,1.229,1.598,2.804
28,35,13.228,5.694,1.274,5.151,0.532,2.074,7.636,5.045,2.954,1.736,3.319,3.842
28,36,1.292,0.578,1.332,1.624,1.909,1.607,1.598,0.67,2.239,0.664,0.892,0.696
28,37,8.124,0.774,1.819,0.833,0.975,3.736,5.437,1.66,6.277,1.87,7.104,0.456
28,38,7.437,1.6,0.202,1.68,1.029,4.09,4.408,1.289,6.912,0.852,10.731,1.254
28,39,7.727,0.766,1.358,1.541,0.954,6.149,5.642,2.259,5.706,2.55,8.751,1.752
28,40,8.022,1.291,0.852,0.831,0.99,4.449,5.191,0.552,4.559,1.313,6.531,0.855
28,41,6.952,1.058,1.266,1.063,1.701,4.223,5.188,0.302,5.171,1.499,8.03,2.065
28,42,8.757,1.042,1.369,1.455,0.971,5.185,4.766,1.149,4.439,2.112,8.217,1.08
28,43,8.16,1.42,1.756,1.739,0.447,6.415,4.941,1.015,6.748,1.64,6.62,1.932
28,44,9.589,1.108,0.933,0.611,1.202,4.827,6.45,0.745,8.092,1.683,9.978,0.866
28,45,8.159,0.7,1.224,1.053,0.73,5.663,6.131,1.037,5.07,1.337,9.416,1.076
28,46,10.641,1.146,1.508,1.598,1.427,5.144,5.529,0.782,7.288,1.052,11.042,0.69
28,47,8.743,1.199,0.86,1.415,1.083,5.843,6.185,1.621,6.765,1.915,7.871,2.021
28,48,9.073,0.965,0.667,0.776,0.852,4.832,5.29,2.055,6.534,1.302,7.952,1.112
28,49,0.126,1.209,1.121,1.155,0.888,1.096,1.78,2.065,1.574,1.606,1.831,1.186
28,50,0.82,1.759,0.869,0.776,1.701,0.123,1.574,1.863,1.54,1.776,0.822,1.265
29,1,1.23,0.575,1.354,0.274,1.045,1.309,1.354,0.232,0.498,0.545,1.651,1.081
29,2,1.58,1.64,1.799,0.956,1.644,0.491,1.303,0.551,1.208,1.773,1.47,1.658
